name,company,year,Price,kms_driven,fuel_type
Allion 260,Toyota,2010,7390000,125000,Petrol
Allion 260,Toyota,2012,9200000,127000,Petrol
Allion 260,Toyota,2007,6500000,130000,Petrol
Allion 260,Toyota,2007,6500000,130000,Petrol
Allion 260,Toyota,2009,7350000,130000,Petrol
Allion 260,Toyota,2011,9500000,130000,Petrol
Allion 260,Toyota,2007,6350000,140000,Petrol
Allion 260,Toyota,2008,6500000,147000,Petrol
Allion 260,Toyota,2007,6200000,148000,Petrol
Allion 260,Toyota,2007,6200000,150000,Petrol
Allion 260,Toyota,2007,7390000,157000,Petrol
Allion 260,Toyota,2008,7600000,159000,Petrol
Allion 260,Toyota,2007,6990000,160000,Petrol
Allion 260,Toyota,2007,6990000,160000,Petrol
Allion 260,Toyota,2007,6990000,160000,Petrol
Allion 260,Toyota,2008,7650000,160000,Petrol
Allion 260,Toyota,2007,6750000,174000,Petrol
Allion 260,Toyota,2012,8575000,183000,Petrol
Allion 260,Toyota,2008,6600000,190000,Petrol
Allion 260,Toyota,2008,6600000,200000,Petrol
Allion 260,Toyota,2011,8600000,230000,Petrol
Aqua,Toyota,2015,6200000,5800,Hybrid
Aqua,Toyota,2017,8500000,15000,Petrol
Aqua,Toyota,2015,7500000,22000,Hybrid
Aqua,Toyota,2013,5650000,28000,Hybrid
Aqua,Toyota,2015,7500000,30000,Hybrid
Aqua,Toyota,2018,8950000,30400,Hybrid
Aqua,Toyota,2015,6200000,32000,Hybrid
Aqua,Toyota,2015,6200000,32000,Hybrid
Aqua,Toyota,2015,6200000,34000,Hybrid
Aqua,Toyota,2014,5600000,34300,Hybrid
Aqua,Toyota,2015,6200000,36000,Petrol
Aqua,Toyota,2015,6200000,38000,Hybrid
Aqua,Toyota,2014,5600000,38750,Petrol
Aqua,Toyota,2014,5600000,39500,Hybrid
Aqua,Toyota,2013,4975000,40000,Hybrid
Aqua,Toyota,2014,5600000,40000,Hybrid
Aqua,Toyota,2012,5200000,40500,Hybrid
Aqua,Toyota,2014,5600000,41000,Hybrid
Aqua,Toyota,2015,7475000,42035,Hybrid
Aqua,Toyota,2016,7600000,43000,Hybrid
Aqua,Toyota,2015,7475000,44000,Petrol
Aqua,Toyota,2015,7475000,45000,Hybrid
Aqua,Toyota,2015,7475000,45000,Petrol
Aqua,Toyota,2017,8500000,45000,Hybrid
Aqua,Toyota,2014,6195000,46000,Petrol
Aqua,Toyota,2015,7475000,46000,Hybrid
Aqua,Toyota,2012,5200000,47000,Petrol
Aqua,Toyota,2013,4975000,47000,Hybrid
Aqua,Toyota,2015,7475000,47100,Petrol
Aqua,Toyota,2013,4975000,47500,Hybrid
